ABBR,STATE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL,Alabama,52540,57670,59440,59960,60700,61760,65110,66000,68940,70170,70670,71740,73780,76330,78180,79090,81870,84290
AK,Alaska,51890,55210,56200,58140,59740,61980,64290,65170,66650,68350,70180,71280,73000,75380,82360,82860,81820,80280
AZ,Arizona,58270,56890,57750,59320,59580,61730,64640,69360,71200,74450,73960,75180,76650,77960,80020,80250,82940,83140
AR,Arkansas,42510,47080,47660,46420,49170,51790,54380,57010,57300,58100,60720,62650,63720,65290,65580,67230,68360,68290
CA,California,68400,69610,72230,74060,75800,77840,80580,83790,86930,87990,90930,91810,95320,99450,102930,102970,105380,108190
CO,Colorado,64090,65480,67250,69410,70850,71980,77050,79780,81830,81510,81360,84010,85400,88590,90690,94320,95240,96880
CT,Connecticut,64050,65540,67480,69890,71550,73640,76860,78520,80420,79720,81680,83460,85030,86770,87450,89440,91740,92590
DE,Delaware,63400,63310,67450,68630,65340,73210,75320,77790,77570,77080,79800,82460,83610,86900,89690,92730,92630,93550
DC,District of Columbia,61760,67430,68800,71670,72180,75080,78100,82660,86360,87760,90670,92960,94780,96570,100620,103580,106790,108600
FL,Florida,53740,56000,56380,57960,58530,60310,61980,64230,65050,67140,68960,70930,70950,72490,73270,74480,76420,78780
GA,Georgia,58120,59850,61250,63350,63460,64850,67330,71990,73690,74360,73810,76060,78100,80740,81100,85800,85890,88590
HI,Hawaii,51550,56030,57610,58220,58880,60770,62630,64460,66440,67920,70400,69920,71240,73760,76440,77990,79790,80570
ID,Idaho,50740,52080,52150,54890,56820,56770,58650,58470,57060,58740,59260,63780,65300,66150,68550,68330,70210,71910
IL,Illinois,61410,61620,62660,65610,66450,69380,73750,75270,75670,75130,76180,77500,78260,79670,82540,85340,86820,87720
IN,Indiana,50950,52890,53530,53500,54940,58310,61130,62470,62700,64170,65810,68090,68150,69490,69140,70930,72660,75100
IA,Iowa,51000,52120,52810,53730,56650,58560,61980,62910,63450,63550,65680,67530,69050,71470,72370,74630,76700,78720
KS,Kansas,54580,57550,60480,61610,61900,60580,62380,63010,64970,66830,70110,71760,71180,70890,71590,72440,74020,73230
KY,Kentucky,49830,51880,52640,52710,54500,55840,59430,58940,60790,61990,63850,62580,62870,64080,67690,68820,68790,70890
LA,Louisiana,48890,51910,51720,51930,51320,52640,54390,54690,57020,58500,61000,61980,63190,62320,62590,63260,63700,66850
ME,Maine,48410,50860,51920,52480,54580,56600,59040,59130,60490,61480,63730,64820,65910,67570,70510,72920,74830,77440
MD,Maryland,63550,66480,68550,72390,73310,76390,80420,82740,84610,85490,87010,89940,92250,94670,95640,96800,99010,100560
MA,Massachusetts,68650,68760,70450,75410,77450,79700,83660,86760,88610,88020,89300,90750,91990,94820,95980,96860,96470,98630
MI,Michigan,57440,58520,59500,61410,62060,64690,66980,68440,68610,68670,67660,69130,70050,72770,74880,76950,78810,79280
MN,Minnesota,59200,61120,63110,65670,67320,68810,71710,74430,75470,75860,76460,78190,78830,80210,82760,84960,86710,87350
MS,Mississippi,44070,44680,42970,44300,46540,51160,53060,54030,54720,54220,55820,57660,60510,62840,65280,66430,67820,69920
MO,Missouri,55510,56480,58510,59740,61680,62050,63400,65700,67340,69300,70610,71990,72690,74960,77270,78270,78690,78420
MT,Montana,41460,46260,46760,45930,50950,54630,55110,55360,51900,53690,56010,56590,57340,58120,59560,63650,63720,65390
NE,Nebraska,52730,52950,55160,56080,57760,59290,62590,63950,65630,65530,67620,69530,70460,70650,71630,73570,75570,77270
NV,Nevada,47980,50120,53570,53300,55830,59200,63210,63230,64960,65410,66130,67830,72160,74400,74600,75150,76820,78960
NH,New Hampshire,58160,58830,61580,67070,67440,69620,71470,75350,77610,77850,79500,78840,79140,80280,83900,87000,88260,93680
NJ,New Jersey,68360,69250,70600,73120,76190,78240,81310,83120,84390,85570,85590,88020,90020,92610,94550,96210,100540,101390
NM,New Mexico,53920,56040,58330,62580,60370,63280,67960,69730,70760,71980,72140,72390,71450,73630,75040,77460,78240,78830
NY,New York,63910,66150,67910,69010,71510,74080,77560,78520,78920,80010,82300,84300,86940,89110,91570,93260,95370,97320
NC,North Carolina,61060,62440,63870,64480,64900,66910,70320,72530,74440,76180,76960,77920,79150,80550,82770,84280,86380,87630
ND,North Dakota,39580,43970,48780,47750,46640,47140,45440,49460,52700,53670,55030,56890,60350,61720,64620,67160,66390,69350
OH,Ohio,55660,57190,57980,60120,61650,63360,65680,67380,68700,69560,69940,70820,72220,74160,75790,79290,80690,82080
OK,Oklahoma,43780,46260,47990,50970,51310,52090,53000,56620,57590,58900,60300,60810,63200,64130,65220,68220,69560,71540
OR,Oregon,53630,58200,57670,60850,61720,66050,68020,70200,70790,73250,72810,75300,75920,77580,81440,82190,85750,85140
PA,Pennsylvania,55500,56820,56910,60820,62780,64170,67240,70580,73110,73780,74580,75660,75830,76560,78880,81100,83060,84800
RI,Rhode Island,53260,58230,59550,62200,64890,67640,73290,74570,75090,74590,76510,79500,79170,81330,81670,85200,85450,88020
SC,South Carolina,50280,49200,49100,51230,53070,57130,59400,60460,60290,60850,63170,63670,64430,66430,69040,71730,72680,74030
SD,South Dakota,40870,42180,42520,45580,45010,49260,51970,53430,52800,54220,56420,56650,57300,59320,61680,63930,64020,65680
TN,Tennessee,50900,52490,54410,55980,56570,57610,60040,60900,62460,63750,65690,67480,68340,69900,69640,71930,74050,75310
TX,Texas,60460,60780,63640,65420,66980,68150,70840,72770,75690,77400,78710,78510,79910,81600,84890,86920,89450,90740
UT,Utah,48210,51650,51850,55520,59660,61180,65530,65280,67730,65680,68770,70000,71610,72230,73800,77210,80650,81740
VT,Vermont,56300,56550,57850,59030,58030,59380,61410,63530,65110,67150,66360,68630,68540,71880,73910,76350,73330,75920
VA,Virginia,61890,61760,63500,69000,72810,78290,82070,85650,87750,88730,91470,92880,95260,94700,96750,98540,100830,102430
WA,Washington,64370,66370,66860,71470,73880,75870,78580,82310,84250,84990,86580,89310,97520,99780,102400,104430,107020,108660
WV,West Virginia,46410,45380,46670,47520,50140,52350,54850,54840,57500,59180,60900,62330,62870,65790,66990,67990,69750,71400
WI,Wisconsin,55590,56130,57070,58730,58580,59920,62200,64130,65300,66300,66910,68220,69770,69910,71760,72200,74520,77080
WY,Wyoming,38400,41340,42240,45800,45340,47880,51020,53270,54520,56490,57260,58710,60700,61630,60670,62170,64030,67380
GU,Guam,38640,40580,40780,40710,40970,45540,44280,43980,43040,43030,42830,46060,46200,47690,50520,50050,51390,51660
PR,Puerto Rico,35330,38060,38670,39160,39590,41320,42520,41830,42410,41350,41990,42220,43210,42880,43110,44210,43800,43470
VI,Virgin Islands,41750,41400,41660,41660,42200,46590,48890,52420,54520,56330,61400,55540,50620,51450,54480,57070,56010,58860
